,Names,Prices,Ratings,Features,Reviews,Images,Links
0,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX...,"₹13,990",3.6,Intel Celeron Dual Core Processor,3.6530 Ratings & 57 Reviews,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70,https://www.flipkart.com/asus-chromebook-celeron-dual-core-n4020-4-gb-64-gb-emmc-storage-chrome-os-cx1101cma-id-gj0002-cx1101cma-gj0007/p/itm3922303ef3069?pid=COMG8Z984EZHKCWK&lid=LSTCOMG8Z984EZHKCWKJZQEOK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_grVfJ0wgvabP6ism5j_xf0beTSwrUlZ6yJPgQZW7wtBkWNq-_QxzoP6YkNt43AgP71SoxJtiMn5qj3BLxu2CFg%3D%3D&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
1,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,"₹65,939",4.3,4 GB LPDDR4 RAM,4.3979 Ratings & 87 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/x/d/-original-imagp7pfqwvb2hhf.jpeg?q=70,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmb4b81cd1f873f?pid=COMGEG3ZNYZDAYVJ&lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_grVfJ0wgvabP6ism5j_xf0beTSwrUlZ6yJPgQZW7wtAvpauJn7Om834lKsccbVLh1AYzNIyOCZjXtqRYUqk5jA%3D%3D&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
2,HP Laptop Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2717TU Thin and Light Lapt...,"₹38,990",4.2,64 bit Chrome Operating System,4.2457 Ratings & 37 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70,https://www.flipkart.com/hp-laptop-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-15s-fq2717tu-thin-light/p/itm3a1a5c67dcd24?pid=COMGHAGNPKH4AR8V&lid=LSTCOMGHAGNPKH4AR8VGHOYNG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGHAGNPKH4AR8V.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
3,ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and L...,"₹42,990",4.3,29.46 cm (11.6 Inch) Display,"4.33,279 Ratings & 254 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-1135g7-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itmbfbbf7747aa01?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGFHNGGWNDVGSY.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
4,HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop,"₹30,990",4.0,1 Year onsite warranty,"41,991 Ratings & 172 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,https://www.flipkart.com/hp-2023-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-ey1509au-thin-light-laptop/p/itm930fe4c90a2f8?pid=COMGZVGHZXXRMWMU&lid=LSTCOMGZVGHZXXRMWMUKR6CBK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGZVGHZXXRMWMU.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
5,DELL Inspiron Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light...,"₹35,990",4.1,Intel Core i5 Processor (12th Gen),"4.11,106 Ratings & 162 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/m/k/-original-imagzyfzhzcw8wvp.jpeg?q=70,https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itm51c0b0115f854?pid=COMGF478WJG7FDQQ&lid=LSTCOMGF478WJG7FDQQDGMUKW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGF478WJG7FDQQ.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
6,Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Lapto...,"₹34,604",4.2,16 GB DDR4 RAM,4.2657 Ratings & 79 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/i/-original-imagzhefhc84rmbf.jpeg?q=70,https://www.flipkart.com/lenovo-v15-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-g2-alc-thin-light-laptop/p/itmfe3dee6b6686a?pid=COMGZ3SPYQJDEJWQ&lid=LSTCOMGZ3SPYQJDEJWQYSFAWR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGZ3SPYQJDEJWQ.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
7,HP Pavilion (2023) Eyesafe Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU ...,"₹72,990",4.2,64 bit Windows 11 Operating System,4.295 Ratings & 10 Reviews,https://rukminim2.flixcart.com/image/312/312/l2hwwi80/computer/9/5/2/eg2036tu-thin-and-light-laptop-hp-original-imagduyqdgd5gtas.jpeg?q=70,https://www.flipkart.com/hp-pavilion-2023-eyesafe-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-eg2036tu-thin-light-laptop/p/itm183b0ce26ff87?pid=COMGDTTDZ8DJESMA&lid=LSTCOMGDTTDZ8DJESMAATEILR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_grVfJ0wgvabP6ism5j_xf0beTSwrUlZ6yJPgQZW7wtDOdiU-9KP5TseONFAn1jgbv2NWQMA6spUaE3GMP3K2ng%3D%3D&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
8,realme Book (Slim) Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light...,"₹34,999",4.4,512 GB SSD,"4.414,754 Ratings & 2,094 Reviews",https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itma836bc7914a97?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
9,HP (2023) Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Lig...,"₹55,091",4.3,35.56 cm (14 inch) Display,"4.31,909 Ratings & 142 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/b/h/-original-imagp7pfa6tscqpx.jpeg?q=70,https://www.flipkart.com/hp-2023-intel-core-i5-11th-gen-1155g7-16-gb-512-gb-ssd-windows-11-home-15s-fr4001tu-thin-light-laptop/p/itmbb64b6f1667d5?pid=COMGZNSB6GCJVUPX&lid=LSTCOMGZNSB6GCJVUPXOWTDNN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b3758f6-a02e-4c49-9aa6-7f9f40b68b32.COMGZNSB6GCJVUPX.SEARCH&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
10,ASUS Chromebook Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0275 Chromeb...,"₹20,990",4.0,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart",43 Ratings & 0 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/v/cx1500cka-ej0277-thin-and-light-laptop-asus-original-imagszagza5bdjmg.jpeg?q=70,https://www.flipkart.com/asus-chromebook-celeron-dual-core-n4500-8-gb-64-gb-emmc-storage-chrome-os-cx1500cka-ej0275/p/itmfe78f55994161?pid=COMGSHM3MYPYGYKG&lid=LSTCOMGSHM3MYPYGYKGT0VHZS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_grVfJ0wgvabP6ism5j_xf0beTSwrUlZ6yJPgQZW7wtAPDk-1OsZ-LbUwE51yRBcr-kuBlezFxDsTzrH7RydB7A%3D%3D&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
11,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / CX...,"₹12,990",3.6,1 Year Onsite Warranty,3.634 Ratings & 6 Reviews,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70,https://www.flipkart.com/asus-chromebook-celeron-dual-core-n4020-4-gb-32-gb-emmc-storage-chrome-os-cx1101cma-id-gj0004-cx1101cma-id-gj0003/p/itm776ef5d8029a9?pid=COMGRT6RSUEZBSWA&lid=LSTCOMGRT6RSUEZBSWAPOUQGL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_grVfJ0wgvabP6ism5j_xf0beTSwrUlZ6yJPgQZW7wtDZh2YfkLTKbnNWpUK75oIqWEP5bXKrpvECcPTaBjd6yQ%3D%3D&ppt=None&ppn=None&ssid=71vtjqjmdc0000001694953271208&qH=c06ea84a1e3dc3c6
